시설물명,위도,경도,생활안전CCTV,횡단보도,옐로카펫,신호등,보호구역표지판,무단횡단방지펜스,도로적색표면,무인교통단속카메라,과속방지턱
빛가온초등학교,37.413689906,126.882025537,8,30,1,47,0,19,13,2,10
빛가온유치원,37.416952326,126.888264888,0,10,0,35,0,12,4,0,1
광명생명숲어린이집,37.432308566,126.877817192,2,6,0,11,0,0,0,0,2
큰별어린이집,37.436146295,126.877327277,0,1,0,7,0,9,3,1,2
충현초등학교,37.432490073,126.884626583,2,14,1,30,0,0,7,2,7
트인아이유치원,37.434968089,126.886029485,2,10,1,11,0,0,3,1,7
아란유치원,37.437261872,126.879689153,2,3,1,12,0,11,4,2,6
서면초등학교,37.43866026,126.879510582,2,3,1,12,0,11,4,2,4
광명푸른숲어린이집,37.477792276,126.850856427,6,2,0,8,0,0,5,3,9
예림유치원,37.468769887,126.852729513,3,11,4,12,0,5,6,2,14
예크어린이집,37.469854145,126.855135297,3,4,3,7,0,0,1,1,5
엄지창의어린이집,37.475694904,126.849686489,5,2,0,2,0,0,4,2,9
녹야유치원,37.47927063,126.857818996,2,8,0,0,0,3,3,1,8
광명초등학교,37.480582748,126.858215136,2,8,0,0,0,3,3,1,8
광명남초등학교,37.476246648,126.852962238,6,2,0,8,0,1,5,3,5
광명서초등학교,37.477852489,126.847357982,7,4,2,0,0,4,4,1,12
광문초등학교,37.467074602,126.851639329,3,10,1,9,0,5,7,2,11
광일초등학교,37.471016793,126.847024959,6,11,0,10,0,16,4,2,20
세교유치원,37.42002424,126.848711399,0,0,0,0,0,0,0,0,0
온신초등학교,37.442701862,126.84573469,2,4,0,0,0,6,3,1,9
안서초등학교,37.402053882,126.871781379,2,2,0,4,0,2,5,0,4
산들유치원,37.454875307,126.860017887,2,1,0,0,0,0,0,0,4
하안남초등학교,37.461014207,126.885382868,2,7,2,23,0,5,3,3,1
예솔유치원,37.456700229,126.87841054,3,12,0,16,0,17,8,2,10
구름산유치원,37.455660136,126.882185903,4,22,0,22,0,21,6,0,9
가림초등학교,37.458199404,126.880148027,3,13,0,16,0,19,8,2,12
연서초등학교,37.466263613,126.880934844,3,10,0,20,0,11,6,2,9
파랑새유치원,37.461323282,126.881383058,1,7,1,10,0,5,2,1,10
구름산초등학교,37.453765538,126.88443634,4,21,3,41,0,23,10,2,6
소하초등학교,37.447116781,126.888053937,5,32,0,93,0,19,16,4,13
홍익어린이집,37.474168784,126.864568531,5,17,0,40,0,15,10,1,9
마리아어린이집,37.471790925,126.865684408,5,32,1,77,0,40,19,2,13
광덕초등학교,37.472941774,126.867567576,5,26,1,69,0,32,15,2,8
안현초등학교,37.470454112,126.868184636,3,25,1,60,0,41,17,2,10
구름산어린이집,37.468178692,126.865305483,1,17,0,17,0,21,12,0,16
하안북초등학교,37.465514167,126.867288614,2,13,0,25,0,18,11,2,10
가림유치원,37.463910106,126.868203087,3,12,0,19,0,15,9,2,8
하안초등학교,37.463744031,126.874382633,2,5,0,8,0,12,5,2,10
예원유치원,37.461271246,126.877311964,2,1,0,4,0,8,4,0,5
예지유치원,37.490201801,126.867907656,2,12,0,13,0,8,5,1,8
광명북초등학교,37.487367731,126.868000893,3,11,0,17,0,14,7,1,10
삼흥유치원,37.477651417,126.868859296,1,1,1,0,0,2,3,0,4
혜성유치원,37.46683873,126.879237896,4,12,0,22,0,15,7,2,11
철산초등학교,37.46984647,126.873334063,4,18,1,53,0,34,12,4,7
하일초등학교,37.469301665,126.876139495,4,16,1,43,0,20,11,4,6
한마음유치원,37.467165937,126.875826468,5,15,1,40,0,28,10,3,8
광성초등학교,37.477602811,126.872541416,4,6,4,12,0,6,7,2,7
광명동초등학교,37.483389861,126.863980047,4,3,0,1,0,9,4,1,11
철산어린이집,37.482189184,126.862267533,4,3,0,1,0,9,4,1,10
