보호구역아이디,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,보호구역 도로폭
25,초등학교,빛가온초등학교,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,37.413689906,126.882025537,12
39,유치원,빛가온유치원,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,37.416952326,126.888264888,14
49,어린이집,광명생명숲어린이집,경기도 광명시 성채로78번길 5,경기도 광명시 소하동 1385,37.432308566,126.877817192,20
51,어린이집,큰별어린이집,경기도 광명시 영당안로 43,경기도 광명시 소하동 937,37.436146295,126.877327277,10
24,초등학교,충현초등학교,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,37.432490073,126.884626583,19
42,유치원,트인아이유치원,경기도 광명시 기아로62번길 16,경기도 광명시 소하동 1372-7,37.434968089,126.886029485,11
41,초등학교,아란유치원,경기도 광명시 기아로5번길 3,경기도 광명시 소하동 900-3,37.437261872,126.879689153,7
5,초등학교,서면초등학교,경기도 광명시 오리로 402,경기도 광명시 소하동 904,37.43866026,126.879510582,7
48,어린이집,광명푸른숲어린이집,경기도 광명시 광명로865번안길 9,경기도 광명시 광명동 207-1,37.477792276,126.850856427,5
28,유치원,예림유치원,경기도 광명시 도덕로 41,경기도 광명시 광명동 724-14,37.468769887,126.852729513,19
43,어린이집,예크어린이집,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,37.469854145,126.855135297,21
50,어린이집,엄지창의어린이집,경기도 광명시 광오로 24,경기도 광명시 광명동 277-5,37.475694904,126.849686489,6
36,유치원,녹야유치원,경기도 광명시 광이로 9-2,경기도 광명시 광명동 156-11,37.47927063,126.857818996,6
1,초등학교,광명초등학교,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,37.480582748,126.858215136,7
2,초등학교,광명남초등학교,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58,37.476246648,126.852962238,24
7,초등학교,광명서초등학교,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,37.477852489,126.847357982,11
13,초등학교,광문초등학교,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,37.467074602,126.851639329,10
3,초등학교,광일초등학교,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,37.471016793,126.847024959,9
29,유치원,세교유치원,경기도 광명시 광명로 205-9,경기도 광명시 가학동 441-1,37.42002424,126.848711399,3
6,초등학교,온신초등학교,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,37.442701862,126.84573469,9
18,초등학교,안서초등학교,경기도 광명시 가학로 247-55,경기도 광명시 가학동 1053-2,37.402053882,126.871781379,9
37,유치원,산들유치원,경기도 광명시 밤일안로 42번길 37,경기도 광명시 하안동 463,37.454875307,126.860017887,4
12,초등학교,하안남초등학교,경기도 광명시 금당로 71,경기도 광명시 하안동 111,37.461014207,126.885382868,21
30,유치원,예솔유치원,경기도 광명시 오리로 619번길 10,경기도 광명시 하안동 241-2,37.456700229,126.87841054,4
38,유치원,구름산유치원,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,37.455660136,126.882185903,5
11,초등학교,가림초등학교,경기도 광명시 금당로 11-7,경기도 광명시 하안동 297,37.458199404,126.880148027,6
20,초등학교,연서초등학교,경기도 광명시 안현로80-2,경기도 광명시 하안동 25-1,37.466263613,126.880934844,9
33,유치원,파랑새유치원,경기도 광명시 하안로 284,경기도 광명시 하안동 110-3,37.461323282,126.881383058,6
22,초등학교,구름산초등학교,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,37.453765538,126.88443634,8
21,초등학교,소하초등학교,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,37.447116781,126.888053937,15
46,어린이집,홍익어린이집,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,37.474168784,126.864568531,9
47,어린이집,마리아어린이집,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,37.471790925,126.865684408,10
4,초등학교,광덕초등학교,경기도 광명시 오리로 841번길 9,경기도 광명시 철산동 498,37.472941774,126.867567576,28
23,초등학교,안현초등학교,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,37.470454112,126.868184636,20
45,어린이집,구름산어린이집,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,37.468178692,126.865305483,10
10,초등학교,하안북초등학교,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,37.465514167,126.867288614,15
26,유치원,가림유치원,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,37.463910106,126.868203087,24
17,초등학교,하안초등학교,경기도 광명시 안현로 16,경기도 광명시 하안동 649,37.463744031,126.874382633,7
31,유치원,예원유치원,경기도 광명시 안현로 34,경기도 광명시 하안동 650-3,37.461271246,126.877311964,36
27,유치원,예지유치원,경기도 광명시 시청로 139,경기도 광명시 철산1동 58,37.490201801,126.867907656,8
14,초등학교,광명북초등학교,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,37.487367731,126.868000893,8
40,유치원,삼흥유치원,경기도 광명시 철산로29번길 12,경기도 광명시 철산동 241-4,37.477651417,126.868859296,8
32,유치원,혜성유치원,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,37.46683873,126.879237896,10
15,초등학교,철산초등학교,경기도 광명시 하안로 392,경기도 광명시 철산동 555,37.46984647,126.873334063,14
19,초등학교,하일초등학교,경기도 광명시 철망산로 68,경기도 광명시 하안4동 23,37.469301665,126.876139495,11
35,유치원,한마음유치원,경기도 광명시 하안로 361,경기도 광명시 하안동 681-4,37.467165937,126.875826468,11
9,초등학교,광성초등학교,경기도 광명시 철산로 59,경기도 광명시 철산동 243,37.477602811,126.872541416,8
16,초등학교,광명동초등학교,경기도 광명시 연서일로 25,경기도 광명시 철산동 78-4,37.483389861,126.863980047,12
44,어린이집,철산어린이집,경기도 광명시 연서일로17번길 18,경기도 광명시 철산동 203-1,37.482189184,126.862267533,9
