보호구역아이디,시설종류,대상시설명,소재지도로명주소,소재지지번주소,경도,위도,관리기관명,관할경찰서명,cctv설치여부,cctv설치대수,보호구역 도로폭,데이터기준일자,지정일자
25,초등학교,빛가온초등학교,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,126.882025537,37.413689906,광명시청,광명경찰서,Y,7,12,2021-11-26,2017-08-30
39,유치원,빛가온유치원,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,126.888264888,37.416952326,광명시청,광명경찰서,N,0,14,2021-11-26,2019-03-05
49,어린이집,광명생명숲어린이집,경기도 광명시 성채로78번길 5,경기도 광명시 소하동 1385,126.877817192,37.432308566,광명시청,광명경찰서,Y,2,20,2021-11-26,2015-03-04
51,어린이집,큰별어린이집,경기도 광명시 영당안로 43,경기도 광명시 소하동 937,126.877327277,37.436146295,광명시청,광명경찰서,N,0,10,2021-11-26,2020-12-14
24,초등학교,충현초등학교,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,126.884626583,37.432490073,광명시청,광명경찰서,Y,2,19,2021-11-26,2011-07-29
42,유치원,트인아이유치원,경기도 광명시 기아로62번길 16,경기도 광명시 소하동 1372-7,126.886029485,37.434968089,광명시청,광명경찰서,N,0,11,2021-11-26,2020-12-14
41,초등학교,아란유치원,경기도 광명시 기아로5번길 3,경기도 광명시 소하동 900-3,126.879689153,37.437261872,광명시청,광명경찰서,N,0,7,2021-11-26,2020-12-14
5,초등학교,서면초등학교,경기도 광명시 오리로 402,경기도 광명시 소하동 904,126.879510582,37.43866026,광명시청,광명경찰서,Y,2,7,2021-11-26,1996-05-20
48,어린이집,광명푸른숲어린이집,경기도 광명시 광명로865번안길 9,경기도 광명시 광명동 207-1,126.850856427,37.477792276,광명시청,광명경찰서,Y,1,5,2021-10-18,2012-09-12
28,유치원,예림유치원,경기도 광명시 도덕로 41,경기도 광명시 광명동 724-14,126.852729513,37.468769887,광명시청,광명경찰서,Y,1,19,2021-10-26,2006-09-28
43,어린이집,예크어린이집,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,126.855135297,37.469854145,광명시청,광명경찰서,Y,2,21,2021-10-26,2000-12-01
50,어린이집,엄지창의어린이집,경기도 광명시 광오로 24,경기도 광명시 광명동 277-5,126.849686489,37.475694904,광명시청,광명경찰서,Y,1,6,2021-10-18,2011-12-07
